================================================================================
Summary of training process:
Dataset                : UCI_HAR
Batch size             : 32
Learing rate           : 0.001
Number of total clients: 150
Split method           : distribution
Split parameter        : 0.1
Clients per round      : 15
Number of global rounds: 100
Number of local rounds : 5
Feature from layer     : 1
Feature percentage     : 0.1
Is interplolated       : False
Local training loss    : MCE_DeC_KL
Loss of beta           : 1.0
Algorithm              : FLea
Modelname              : HARNet
Mode                   : training
Seed                   : 0
================================================================================
Dataset: UCI_HAR
training: 7352 testing: 2947
Here
Pre-splits: [   0    1    2 ... 3673 3674 3675]
[   0    1    2 ... 3673 3674 3675]
[4 4 4 ... 3 3 3]
Pre-splits: [3676 3677 3678 ... 7349 7350 7351]
[3676 3677 3678 ... 7349 7350 7351]
[3 3 3 ... 1 1 1]
Done
Class frequencies:
client,class0,class1,class2,class3,class4,class5,Amount
The last decorrelation: tensor(0.9991)
Local adapation with distilling: 0.000748 alphas: 1 1 1.5999999999999999 1
MCE_DeC_KL Total: tensor(3.5639) local CE: tensor(0.4023) Feature CE: tensor(1.5409) KL: tensor(0.2812)
The last decorrelation: tensor(0.8261)
Local adapation with distilling: 0.000748 alphas: 1 1 1.5999999999999999 1
MCE_DeC_KL Total: tensor(3.7261) local CE: tensor(0.3101) Feature CE: tensor(1.3943) KL: tensor(0.4960)
The last decorrelation: tensor(0.9542)
Local adapation with distilling: 0.000748 alphas: 1 1 1.5999999999999999 1
MCE_DeC_KL Total: tensor(3.5079) local CE: tensor(0.3197) Feature CE: tensor(1.3428) KL: tensor(0.3346)
The last decorrelation: tensor(0.9476)
Local adapation with distilling: 0.000748 alphas: 1 1 1.5999999999999999 1
MCE_DeC_KL Total: tensor(3.7229) local CE: tensor(0.5213) Feature CE: tensor(1.5666) KL: tensor(0.3182)
The last decorrelation: tensor(0.8199)
Local adapation with distilling: 0.000748 alphas: 1 1 1.5999999999999999 1
MCE_DeC_KL Total: tensor(4.9242) local CE: tensor(1.2717) Feature CE: tensor(1.8542) KL: tensor(0.3676)
The last decorrelation: tensor(0.8933)
Local adapation with distilling: 0.000748 alphas: 1 1 1.5999999999999999 1
MCE_DeC_KL Total: tensor(4.2737) local CE: tensor(0.7783) Feature CE: tensor(1.5659) KL: tensor(0.4027)
The last decorrelation: tensor(0.9559)
Global Model Acc on global data: 0.48897183576518494 length of data: 2947
save a model
size of the global feature buffer: 15
-------------Round number:  15  -------------
selected users: [6, 61, 90, 30, 31, 55, 109, 98, 59, 103, 126, 97, 74, 67, 115]
Current data/feature buff: torch.Size([68, 128, 20, 7]) torch.Size([68]) 68
Buffer classes: Counter({2: 23, 3: 15, 4: 13, 0: 12, 1: 4, 5: 1})
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.2154) local CE: tensor(0.3831) Feature CE: tensor(1.1643) KL: tensor(0.2788)
The last decorrelation: tensor(0.9256)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.1087) local CE: tensor(0.3515) Feature CE: tensor(1.1570) KL: tensor(0.3521)
The last decorrelation: tensor(0.8303)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(4.1022) local CE: tensor(0.5407) Feature CE: tensor(1.4808) KL: tensor(0.6527)
The last decorrelation: tensor(0.9526)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.8526) local CE: tensor(0.6289) Feature CE: tensor(1.6101) KL: tensor(0.3103)
The last decorrelation: tensor(0.8893)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.4172) local CE: tensor(0.4464) Feature CE: tensor(1.3040) KL: tensor(0.3576)
The last decorrelation: tensor(0.8777)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.9370) local CE: tensor(0.7174) Feature CE: tensor(1.5623) KL: tensor(0.2577)
The last decorrelation: tensor(0.9255)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.4624) local CE: tensor(0.3782) Feature CE: tensor(1.4979) KL: tensor(0.2874)
The last decorrelation: tensor(0.8672)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.9768) local CE: tensor(0.7189) Feature CE: tensor(1.5713) KL: tensor(0.3753)
The last decorrelation: tensor(0.8797)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(4.1112) local CE: tensor(0.8451) Feature CE: tensor(1.5608) KL: tensor(0.2307)
The last decorrelation: tensor(0.9646)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.0157) local CE: tensor(0.2898) Feature CE: tensor(1.1904) KL: tensor(0.3069)
The last decorrelation: tensor(0.8149)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(4.6747) local CE: tensor(0.6986) Feature CE: tensor(1.6581) KL: tensor(0.8878)
The last decorrelation: tensor(0.9539)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.6188) local CE: tensor(0.5040) Feature CE: tensor(1.4024) KL: tensor(0.4473)
The last decorrelation: tensor(0.8389)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.3692) local CE: tensor(0.4358) Feature CE: tensor(1.2603) KL: tensor(0.3967)
The last decorrelation: tensor(0.8460)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.5865) local CE: tensor(0.5842) Feature CE: tensor(1.3752) KL: tensor(0.3346)
The last decorrelation: tensor(0.8593)
Local adapation with distilling: 0.00073 alphas: 1 1 1.5 1
MCE_DeC_KL Total: tensor(3.4042) local CE: tensor(0.2101) Feature CE: tensor(1.3710) KL: tensor(0.4115)
The last decorrelation: tensor(0.9397)
Global Model Acc on global data: 0.4696301323379708 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  16  -------------
selected users: [56, 32, 50, 77, 63, 45, 75, 29, 47, 94, 60, 148, 134, 9, 137]
Current data/feature buff: torch.Size([111, 128, 20, 7]) torch.Size([111]) 111
Buffer classes: Counter({2: 31, 0: 28, 1: 23, 4: 14, 5: 9, 3: 6})
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.8306) local CE: tensor(0.6414) Feature CE: tensor(1.4459) KL: tensor(0.4543)
The last decorrelation: tensor(0.9480)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.1855) local CE: tensor(0.2121) Feature CE: tensor(1.3517) KL: tensor(0.3032)
The last decorrelation: tensor(0.9396)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.5394) local CE: tensor(0.6540) Feature CE: tensor(1.1881) KL: tensor(0.3614)
The last decorrelation: tensor(0.9557)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.8759) local CE: tensor(0.7126) Feature CE: tensor(1.4509) KL: tensor(0.4334)
The last decorrelation: tensor(0.9163)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.2628) local CE: tensor(0.5064) Feature CE: tensor(1.2002) KL: tensor(0.3125)
The last decorrelation: tensor(0.8852)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.3805) local CE: tensor(0.4800) Feature CE: tensor(1.3524) KL: tensor(0.3500)
The last decorrelation: tensor(0.8635)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.3037) local CE: tensor(0.5124) Feature CE: tensor(1.1053) KL: tensor(0.3354)
The last decorrelation: tensor(0.9640)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.1729) local CE: tensor(0.2867) Feature CE: tensor(1.3200) KL: tensor(0.3126)
The last decorrelation: tensor(0.8947)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.6299) local CE: tensor(0.4991) Feature CE: tensor(1.3714) KL: tensor(0.3861)
The last decorrelation: tensor(0.9838)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.6512) local CE: tensor(0.5120) Feature CE: tensor(1.4111) KL: tensor(0.4350)
The last decorrelation: tensor(0.9258)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.4462) local CE: tensor(0.3725) Feature CE: tensor(1.4912) KL: tensor(0.2669)
The last decorrelation: tensor(0.9475)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.2221) local CE: tensor(0.3441) Feature CE: tensor(1.3528) KL: tensor(0.2641)
The last decorrelation: tensor(0.8874)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.5439) local CE: tensor(0.5499) Feature CE: tensor(1.3287) KL: tensor(0.4088)
The last decorrelation: tensor(0.8959)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(3.4668) local CE: tensor(0.5445) Feature CE: tensor(1.4458) KL: tensor(0.2359)
The last decorrelation: tensor(0.8864)
Local adapation with distilling: 0.000712 alphas: 1 1 1.4 1
MCE_DeC_KL Total: tensor(5.1418) local CE: tensor(0.8082) Feature CE: tensor(2.3150) KL: tensor(0.6986)
The last decorrelation: tensor(0.9441)
Global Model Acc on global data: 0.45673566338649474 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  17  -------------
selected users: [16, 78, 145, 99, 126, 127, 84, 117, 80, 113, 144, 9, 55, 11, 110]
Current data/feature buff: torch.Size([59, 128, 20, 7]) torch.Size([59]) 59
Buffer classes: Counter({4: 28, 5: 17, 2: 8, 1: 3, 0: 2, 3: 1})
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.0670) local CE: tensor(0.4506) Feature CE: tensor(1.0087) KL: tensor(0.3496)
The last decorrelation: tensor(0.9615)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.2653) local CE: tensor(0.5513) Feature CE: tensor(1.0864) KL: tensor(0.3282)
The last decorrelation: tensor(0.9996)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.0756) local CE: tensor(0.4119) Feature CE: tensor(1.3515) KL: tensor(0.1796)
The last decorrelation: tensor(0.8575)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.5798) local CE: tensor(0.7388) Feature CE: tensor(1.4075) KL: tensor(0.2833)
The last decorrelation: tensor(0.8848)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.8871) local CE: tensor(0.6658) Feature CE: tensor(1.8078) KL: tensor(0.1694)
The last decorrelation: tensor(0.9538)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(4.0783) local CE: tensor(1.0771) Feature CE: tensor(1.4687) KL: tensor(0.2976)
The last decorrelation: tensor(0.9302)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.7047) local CE: tensor(0.7109) Feature CE: tensor(1.7019) KL: tensor(0.1440)
The last decorrelation: tensor(0.8806)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.3064) local CE: tensor(0.7717) Feature CE: tensor(1.1818) KL: tensor(0.1357)
The last decorrelation: tensor(0.9479)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.4751) local CE: tensor(0.6894) Feature CE: tensor(1.2880) KL: tensor(0.3392)
The last decorrelation: tensor(0.8905)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.4882) local CE: tensor(0.5249) Feature CE: tensor(1.4494) KL: tensor(0.2598)
The last decorrelation: tensor(0.9703)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.6152) local CE: tensor(0.2811) Feature CE: tensor(1.2898) KL: tensor(0.7732)
The last decorrelation: tensor(0.9749)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.7388) local CE: tensor(0.7615) Feature CE: tensor(1.5373) KL: tensor(0.2851)
The last decorrelation: tensor(0.8868)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.6414) local CE: tensor(0.8613) Feature CE: tensor(1.3184) KL: tensor(0.2571)
The last decorrelation: tensor(0.9398)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.5439) local CE: tensor(0.8639) Feature CE: tensor(1.2905) KL: tensor(0.1653)
The last decorrelation: tensor(0.9425)
Local adapation with distilling: 0.000694 alphas: 1 1 1.2999999999999998 1
MCE_DeC_KL Total: tensor(3.8532) local CE: tensor(0.5924) Feature CE: tensor(1.6183) KL: tensor(0.4532)
The last decorrelation: tensor(0.9309)
Global Model Acc on global data: 0.44044791313199866 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  18  -------------
selected users: [81, 92, 80, 4, 30, 24, 129, 41, 102, 87, 144, 54, 18, 109, 33]
Current data/feature buff: torch.Size([62, 128, 20, 7]) torch.Size([62]) 62
Buffer classes: Counter({3: 22, 5: 18, 4: 13, 2: 4, 1: 3, 0: 2})
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(3.8209) local CE: tensor(0.8872) Feature CE: tensor(1.7602) KL: tensor(0.1346)
The last decorrelation: tensor(0.8579)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(2.9391) local CE: tensor(0.4022) Feature CE: tensor(1.4424) KL: tensor(0.0865)
The last decorrelation: tensor(0.8305)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(3.1851) local CE: tensor(0.5969) Feature CE: tensor(1.3487) KL: tensor(0.1650)
The last decorrelation: tensor(0.8954)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(3.2508) local CE: tensor(0.3502) Feature CE: tensor(1.5446) KL: tensor(0.3010)
The last decorrelation: tensor(0.8661)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(3.4214) local CE: tensor(0.5726) Feature CE: tensor(1.7056) KL: tensor(0.1071)
The last decorrelation: tensor(0.8593)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(3.0694) local CE: tensor(0.5098) Feature CE: tensor(1.1436) KL: tensor(0.2839)
The last decorrelation: tensor(0.9573)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(2.7421) local CE: tensor(0.2805) Feature CE: tensor(1.2484) KL: tensor(0.1509)
The last decorrelation: tensor(0.8872)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(2.9634) local CE: tensor(0.3810) Feature CE: tensor(1.4442) KL: tensor(0.1057)
The last decorrelation: tensor(0.8541)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(2.6927) local CE: tensor(0.3155) Feature CE: tensor(1.0815) KL: tensor(0.1346)
The last decorrelation: tensor(0.9713)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(3.0018) local CE: tensor(0.4984) Feature CE: tensor(1.1675) KL: tensor(0.1696)
The last decorrelation: tensor(0.9687)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(3.5842) local CE: tensor(0.4958) Feature CE: tensor(1.6382) KL: tensor(0.2768)
The last decorrelation: tensor(0.9786)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(3.2515) local CE: tensor(0.5147) Feature CE: tensor(1.4164) KL: tensor(0.2119)
The last decorrelation: tensor(0.9245)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(2.7498) local CE: tensor(0.3152) Feature CE: tensor(1.1799) KL: tensor(0.1241)
The last decorrelation: tensor(0.9429)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(2.8901) local CE: tensor(0.2867) Feature CE: tensor(1.4941) KL: tensor(0.0638)
The last decorrelation: tensor(0.8713)
Local adapation with distilling: 0.0006760000000000001 alphas: 1 1 1.2 1
MCE_DeC_KL Total: tensor(3.1585) local CE: tensor(0.3263) Feature CE: tensor(1.0809) KL: tensor(0.5996)
The last decorrelation: tensor(0.9650)
Global Model Acc on global data: 0.43942992874109266 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  19  -------------
selected users: [2, 112, 90, 88, 27, 7, 8, 37, 94, 105, 59, 23, 56, 30, 137]
Current data/feature buff: torch.Size([107, 128, 20, 7]) torch.Size([107]) 107
Buffer classes: Counter({0: 24, 1: 24, 3: 19, 2: 15, 5: 14, 4: 11})
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.2987) local CE: tensor(0.6154) Feature CE: tensor(1.4628) KL: tensor(0.2364)
The last decorrelation: tensor(0.8927)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.5879) local CE: tensor(0.6293) Feature CE: tensor(1.6508) KL: tensor(0.2910)
The last decorrelation: tensor(0.9249)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.3019) local CE: tensor(0.4015) Feature CE: tensor(1.3818) KL: tensor(0.4687)
The last decorrelation: tensor(0.9568)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.8154) local CE: tensor(0.5195) Feature CE: tensor(1.3076) KL: tensor(0.9210)
The last decorrelation: tensor(0.9713)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.2053) local CE: tensor(0.4758) Feature CE: tensor(1.4923) KL: tensor(0.3394)
The last decorrelation: tensor(0.8084)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.4189) local CE: tensor(0.6804) Feature CE: tensor(1.3984) KL: tensor(0.2490)
The last decorrelation: tensor(0.9922)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.3085) local CE: tensor(0.3882) Feature CE: tensor(1.4623) KL: tensor(0.3955)
The last decorrelation: tensor(0.9785)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.3297) local CE: tensor(0.5624) Feature CE: tensor(1.4383) KL: tensor(0.3519)
The last decorrelation: tensor(0.8909)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.7478) local CE: tensor(0.7537) Feature CE: tensor(1.5531) KL: tensor(0.4237)
The last decorrelation: tensor(0.9280)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.1078) local CE: tensor(0.4642) Feature CE: tensor(1.2731) KL: tensor(0.2895)
The last decorrelation: tensor(0.9834)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.6594) local CE: tensor(0.8051) Feature CE: tensor(1.5378) KL: tensor(0.2314)
The last decorrelation: tensor(0.9866)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.4050) local CE: tensor(0.5224) Feature CE: tensor(1.4773) KL: tensor(0.3063)
The last decorrelation: tensor(0.9993)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.9828) local CE: tensor(0.8652) Feature CE: tensor(1.6497) KL: tensor(0.4627)
The last decorrelation: tensor(0.9224)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.3345) local CE: tensor(0.6563) Feature CE: tensor(1.4402) KL: tensor(0.2778)
The last decorrelation: tensor(0.8696)
Local adapation with distilling: 0.0006580000000000001 alphas: 1 1 1.0999999999999999 1
MCE_DeC_KL Total: tensor(3.5783) local CE: tensor(0.4427) Feature CE: tensor(1.6834) KL: tensor(0.4149)
The last decorrelation: tensor(0.9439)
Global Model Acc on global data: 0.45503902273498475 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  20  -------------
selected users: [47, 73, 74, 129, 67, 89, 143, 21, 108, 12, 147, 76, 119, 35, 28]
Current data/feature buff: torch.Size([48, 128, 20, 7]) torch.Size([48]) 48
Buffer classes: Counter({3: 17, 1: 9, 0: 8, 2: 6, 5: 6, 4: 2})
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.8042) local CE: tensor(0.4111) Feature CE: tensor(1.1793) KL: tensor(0.2382)
The last decorrelation: tensor(0.9755)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.0012) local CE: tensor(0.5914) Feature CE: tensor(1.4099) KL: tensor(0.1624)
The last decorrelation: tensor(0.8492)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7291) local CE: tensor(0.3847) Feature CE: tensor(1.3073) KL: tensor(0.1769)
The last decorrelation: tensor(0.8595)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7296) local CE: tensor(0.3597) Feature CE: tensor(1.2722) KL: tensor(0.2139)
The last decorrelation: tensor(0.8869)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1756) local CE: tensor(0.5544) Feature CE: tensor(1.5189) KL: tensor(0.2384)
The last decorrelation: tensor(0.8637)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.4434) local CE: tensor(0.9398) Feature CE: tensor(1.3755) KL: tensor(0.1948)
The last decorrelation: tensor(0.9338)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.8206) local CE: tensor(0.4322) Feature CE: tensor(1.3035) KL: tensor(0.2109)
The last decorrelation: tensor(0.8787)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.5380) local CE: tensor(0.9168) Feature CE: tensor(1.4664) KL: tensor(0.1717)
The last decorrelation: tensor(0.9832)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.9092) local CE: tensor(0.5446) Feature CE: tensor(1.1602) KL: tensor(0.2558)
The last decorrelation: tensor(0.9504)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7879) local CE: tensor(0.3246) Feature CE: tensor(1.4242) KL: tensor(0.1627)
The last decorrelation: tensor(0.8729)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.0828) local CE: tensor(0.5701) Feature CE: tensor(1.4406) KL: tensor(0.1137)
The last decorrelation: tensor(0.9588)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5174) local CE: tensor(0.1426) Feature CE: tensor(1.2121) KL: tensor(0.1968)
The last decorrelation: tensor(0.9681)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6227) local CE: tensor(0.1837) Feature CE: tensor(1.2761) KL: tensor(0.2089)
The last decorrelation: tensor(0.9561)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.4140) local CE: tensor(0.8507) Feature CE: tensor(1.5033) KL: tensor(0.2156)
The last decorrelation: tensor(0.8432)
Local adapation with distilling: 0.00064 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.3570) local CE: tensor(0.8671) Feature CE: tensor(1.3002) KL: tensor(0.2309)
The last decorrelation: tensor(0.9578)
Global Model Acc on global data: 0.44655581947743467 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  21  -------------
selected users: [92, 44, 7, 21, 95, 75, 20, 121, 26, 19, 81, 88, 143, 117, 23]
Current data/feature buff: torch.Size([121, 128, 20, 7]) torch.Size([121]) 121
Buffer classes: Counter({5: 43, 4: 34, 2: 17, 1: 16, 3: 7, 0: 4})
Local adapation with distilling: 0.0006220000000000002 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5727) local CE: tensor(0.2699) Feature CE: tensor(1.3414) KL: tensor(0.1115)
The last decorrelation: tensor(0.8454)
Local adapation with distilling: 0.0006220000000000002 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5486) local CE: tensor(0.3477) Feature CE: tensor(1.0681) KL: tensor(0.1393)
The last decorrelation: tensor(0.9928)
Local adapation with distilling: 0.0006220000000000002 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.8070) local CE: tensor(0.8188) Feature CE: tensor(1.6228) KL: tensor(0.3736)
The last decorrelation: tensor(0.9922)
Local adapation with distilling: 0.0006220000000000002 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.4678) local CE: tensor(0.8765) Feature CE: tensor(1.4674) KL: tensor(0.1400)
The last decorrelation: tensor(0.9844)
Local adapation with distilling: 0.0006220000000000002 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.0461) local CE: tensor(0.3808) Feature CE: tensor(1.6171) KL: tensor(0.1797)
The last decorrelation: tensor(0.8661)
Local adapation with distilling: 0.0006220000000000002 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.3451) local CE: tensor(0.4858) Feature CE: tensor(1.7647) KL: tensor(0.1256)
The last decorrelation: tensor(0.9689)
Local adapation with distilling: 0.0006220000000000002 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.2166) local CE: tensor(0.7102) Feature CE: tensor(1.3262) KL: tensor(0.2258)
The last decorrelation: tensor(0.9553)
Local adapation with distilling: 0.0006220000000000002 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.5802) local CE: tensor(0.7175) Feature CE: tensor(1.5794) KL: tensor(0.3362)
The last decorrelation: tensor(0.9479)
Local adapation with distilling: 0.0006220000000000002 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.9090) local CE: tensor(0.5096) Feature CE: tensor(1.4715) KL: tensor(0.1188)
The last decorrelation: tensor(0.8045)
Local adapation with distilling: 0.0006220000000000002 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6388) local CE: tensor(0.2705) Feature CE: tensor(1.2950) KL: tensor(0.1109)
The last decorrelation: tensor(0.9468)
